SOURCE_ID	dec_bp_1	dec_bp_2	dec_g_1	dec_g_2	dec_rp_1	dec_rp_2	magnitude_bp_1	magnitude_bp_2	magnitude_g_1	magnitude_g_2	magnitude_rp_1	magnitude_rp_2	parallax_bp_1	parallax_bp_2	parallax_g_1	parallax_g_2	parallax_rp_1	parallax_rp_2	ra_bp_1	ra_bp_2	ra_g_1	ra_g_2	ra_rp_1	ra_rp_2
4668472499762759680	-66.9467926071014	-66.9467926071014	-66.9467926071014	-66.9467926071014	-66.9467926071014	-66.9467926071014	20.868724822998047	20.96872482299805	20.800926208496094	20.90092620849609	19.6709041595459	19.7709041595459	1.328852823315942	1.328852823315942	1.328852823315942	1.328852823315942	1.328852823315942	1.328852823315942	62.85742915522979	62.85742915522979	62.85742915522979	62.85742915522979	62.85742915522979	62.85742915522979
4668472568482239616	-66.9347081500278	-66.9347081500278	-66.9347081500278	-66.9347081500278	-66.9347081500278	-66.9347081500278	21.071420669555664	21.171420669555665	20.88282966613769	20.982829666137697	19.88677406311035	19.986774063110357	0.4938771794522639	0.4938771794522639	0.4938771794522639	0.4938771794522639	0.4938771794522639	0.4938771794522639	62.83288425638646	62.83288425638646	62.83288425638646	62.83288425638646	62.83288425638646	62.83288425638646
4668472568482897920	-66.93919066102563	-66.93919066102563	-66.93919066102563	-66.93919066102563	-66.93919066102563	-66.93919066102563	14.841150283813477	14.941150283813476	14.517740249633787	14.617740249633789	14.029417991638184	14.129417991638183	0.7541487641411149	0.7541487641411149	0.7541487641411149	0.7541487641411149	0.7541487641411149	0.7541487641411149	62.83454151472467	62.83454151472467	62.83454151472467	62.83454151472467	62.83454151472467	62.83454151472467
4668472598546911360	-66.9214976505116	-66.9214976505116	-66.9214976505116	-66.9214976505116	-66.9214976505116	-66.9214976505116	20.15753746032715	20.25753746032715	18.853849411010746	18.953849411010744	17.793302536010742	17.893302536010744	1.2362816353486596	1.2362816353486596	1.2362816353486596	1.2362816353486596	1.2362816353486596	1.2362816353486596	62.846235834948345	62.846235834948345	62.846235834948345	62.846235834948345	62.846235834948345	62.846235834948345
4668472637202374784	-66.9208422592682	-66.9208422592682	-66.9208422592682	-66.9208422592682	-66.9208422592682	-66.9208422592682	19.636905670166016	19.736905670166017	19.20051002502441	19.300510025024412	18.63311767578125	18.73311767578125	0.5335206178673692	0.5335206178673692	0.5335206178673692	0.5335206178673692	0.5335206178673692	0.5335206178673692	62.888806533315936	62.888806533315936	62.888806533315936	62.888806533315936	62.888806533315936	62.888806533315936
4668472735985870336	-66.89983887847798	-66.89983887847798	-66.89983887847798	-66.89983887847798	-66.89983887847798	-66.89983887847798	20.033615112304688	20.13361511230469	19.963388442993164	20.063388442993165	19.9450740814209	20.0450740814209	0.4261675436548981	0.4261675436548981	0.4261675436548981	0.4261675436548981	0.4261675436548981	0.4261675436548981	62.871566435690816	62.871566435690816	62.871566435690816	62.871566435690816	62.871566435690816	62.871566435690816
4668472735985871872	-66.89268309978269	-66.89268309978269	-66.89268309978269	-66.89268309978269	-66.89268309978269	-66.89268309978269	20.544775009155277	20.644775009155275	19.958967208862305	20.058967208862303	19.154390335083008	19.25439033508301	0.0286059319518782	0.0286059319518782	0.0286059319518782	0.0286059319518782	0.0286059319518782	0.0286059319518782	62.86339527853848	62.86339527853848	62.86339527853848	62.86339527853848	62.86339527853848	62.86339527853848
4668472804705344512	-66.90974249343495	-66.90974249343495	-66.90974249343495	-66.90974249343495	-66.90974249343495	-66.90974249343495	18.685535430908203	18.785535430908205	18.400089263916016	18.500089263916017	17.95682716369629	18.05682716369629	0.2057875501195656	0.2057875501195656	0.2057875501195656	0.2057875501195656	0.2057875501195656	0.2057875501195656	62.82889454112117	62.82889454112117	62.82889454112117	62.82889454112117	62.82889454112117	62.82889454112117
4668472809000410112	-66.91771864137073	-66.91771864137073	-66.91771864137073	-66.91771864137073	-66.91771864137073	-66.91771864137073	20.88433837890625	20.98433837890625	20.533292770385746	20.633292770385744	19.405118942260746	19.505118942260744	2.2091654348845515	2.2091654348845515	2.2091654348845515	2.2091654348845515	2.2091654348845515	2.2091654348845515	62.81807687577327	62.81807687577327	62.81807687577327	62.81807687577327	62.81807687577327	62.81807687577327
4668472809001066112	-66.90405084504764	-66.90405084504764	-66.90405084504764	-66.90405084504764	-66.90405084504764	-66.90405084504764	15.715067863464355	15.815067863464355	15.313015937805176	15.413015937805175	14.744670867919922	14.844670867919922	1.112715362971812	1.112715362971812	1.112715362971812	1.112715362971812	1.112715362971812	1.112715362971812	62.801256452296194	62.801256452296194	62.801256452296194	62.801256452296194	62.801256452296194	62.801256452296194
4668472839065081856	-66.91309663681203	-66.91309663681203	-66.91309663681203	-66.91309663681203	-66.91309663681203	-66.91309663681203	20.82742691040039	20.927426910400392	20.63587760925293	20.73587760925293	20.236364364624023	20.336364364624025	0.1343125147488024	0.1343125147488024	0.1343125147488024	0.1343125147488024	0.1343125147488024	0.1343125147488024	62.787879028798685	62.787879028798685	62.787879028798685	62.787879028798685	62.787879028798685	62.787879028798685
4668472839065083136	-66.90728135706637	-66.90728135706637	-66.90728135706637	-66.90728135706637	-66.90728135706637	-66.90728135706637	20.757158279418945	20.857158279418947	20.530895233154297	20.6308952331543	19.933717727661133	20.03371772766113	1.0375904556305653	1.0375904556305653	1.0375904556305653	1.0375904556305653	1.0375904556305653	1.0375904556305653	62.7605983028782	62.7605983028782	62.7605983028782	62.7605983028782	62.7605983028782	62.7605983028782
4668472839065084416	-66.90240398157289	-66.90240398157289	-66.90240398157289	-66.90240398157289	-66.90240398157289	-66.90240398157289	18.76676368713379	18.86676368713379	18.09610366821289	18.19610366821289	17.34237289428711	17.44237289428711	0.4214882955981128	0.4214882955981128	0.4214882955981128	0.4214882955981128	0.4214882955981128	0.4214882955981128	62.767137595842776	62.767137595842776	62.767137595842776	62.767137595842776	62.767137595842776	62.767137595842776
4668472843360804352	-66.91339454793976	-66.91339454793976	-66.91339454793976	-66.91339454793976	-66.91339454793976	-66.91339454793976	21.09271812438965	21.19271812438965	20.02762031555176	20.12762031555176	18.861461639404297	18.9614616394043	2.065968821889254	2.065968821889254	2.065968821889254	2.065968821889254	2.065968821889254	2.065968821889254	62.77986754096124	62.77986754096124	62.77986754096124	62.77986754096124	62.77986754096124	62.77986754096124
4668472873424823424	-66.89959726485701	-66.89959726485701	-66.89959726485701	-66.89959726485701	-66.89959726485701	-66.89959726485701	19.86186790466309	19.961867904663087	19.51143264770508	19.61143264770508	19.080772399902344	19.180772399902345	0.2938203230258339	0.2938203230258339	0.2938203230258339	0.2938203230258339	0.2938203230258339	0.2938203230258339	62.79997093802181	62.79997093802181	62.79997093802181	62.79997093802181	62.79997093802181	62.79997093802181
4668472877720550784	-66.89708494171761	-66.89708494171761	-66.89708494171761	-66.89708494171761	-66.89708494171761	-66.89708494171761	14.80709743499756	14.907097434997558	13.932315826416016	14.032315826416015	12.995561599731444	13.095561599731443	6.03520255585978	6.03520255585978	6.03520255585978	6.03520255585978	6.03520255585978	6.03520255585978	62.78075778178129	62.78075778178129	62.78075778178129	62.78075778178129	62.78075778178129	62.78075778178129
4668472877720550912	-66.8965039271433	-66.8965039271433	-66.8965039271433	-66.8965039271433	-66.8965039271433	-66.8965039271433	16.0307674407959	16.1307674407959	14.902971267700195	15.002971267700197	13.798725128173828	13.898725128173828	5.971246442600982	5.971246442600982	5.971246442600982	5.971246442600982	5.971246442600982	5.971246442600982	62.78206689076018	62.78206689076018	62.78206689076018	62.78206689076018	62.78206689076018	62.78206689076018
4668472912080289408	-66.90091074609684	-66.90091074609684	-66.90091074609684	-66.90091074609684	-66.90091074609684	-66.90091074609684	17.3341007232666	17.434100723266603	17.012313842773438	17.11231384277344	16.531036376953125	16.631036376953126	0.2180745170339771	0.2180745170339771	0.2180745170339771	0.2180745170339771	0.2180745170339771	0.2180745170339771	62.83320452418076	62.83320452418076	62.83320452418076	62.83320452418076	62.83320452418076	62.83320452418076
