	LogL_21M003M	LogT_21M003M	L(sun)_21M003M	T_21M003M
2.16700591	3.64851847	146.8946267	4451.623947
2.16630833	3.64857435	146.6588685	4452.196768
2.16537897	3.64864864	146.3453643	4452.958421
2.16407626	3.64875246	145.9070443	4454.023048
2.16218578	3.6489028	145.2732926	4455.565167
2.15917266	3.64914211	144.2688799	4458.021001
2.1554591	3.64943697	143.0405265	4461.048758
2.15412279	3.64954299	142.6010719	4462.137923
2.15511857	3.64946463	142.9284125	4461.332889
2.15472427	3.64949487	142.7987053	4461.643543
2.1543348	3.64952455	142.6707026	4461.948466
2.15400256	3.64954955	142.5615997	4462.205324
2.15375085	3.64956857	142.4789973	4462.400751
2.15352297	3.64958633	142.4042563	4462.58324
2.15326867	3.64960685	142.3208962	4462.794097
2.15291128	3.64963595	142.2038256	4463.093138
2.152369	3.64967989	142.0263742	4463.544717
2.15154679	3.64974611	141.757743	4464.225358
2.15030874	3.64984536	141.3542075	4465.245691
2.14844403	3.64999437	140.7485826	4466.778016
2.14733177	3.65008316	140.3885764	4467.691326
2.14610959	3.65018052	139.9940539	4468.693004
2.14477583	3.65028671	139.5647783	4469.785785
2.14332521	3.65040214	139.099385	4470.973955
2.1417515	3.65052728	138.5962565	4472.262432
2.13967864	3.65069197	137.9363215	4473.958693
2.13691742	3.65091109	137.0621121	4476.216564
2.13320934	3.65120485	135.8968343	4479.245334
2.12921305	3.65152083	134.6520749	4482.505489
2.12488022	3.65186274	133.3153693	4486.035851
2.12017898	3.65223296	131.8800126	4489.861661
2.11510625	3.65263162	130.3485637	4493.985016
2.10959064	3.65306415	128.7035838	4498.462972
2.10364752	3.65352916	126.9543306	4503.282168
2.09727145	3.65402687	125.1040732	4508.445976
2.09047216	3.65455632	123.1607032	4513.945591
2.08325454	3.65511691	121.1307873	4519.775982
2.07564973	3.65570604	119.0281627	4525.911318
2.06763506	3.65632526	116.8517067	4532.368995
2.05925709	3.65697074	114.6191253	4539.11034
2.05053944	3.65764046	112.3412987	4546.115444
2.04151246	3.65833189	110.0303413	4553.358972
2.03219867	3.6590431	107.695776	4560.821759
2.02262235	3.65977205	105.347043	4568.483387
2.0128091	3.6605166	102.99333	4576.322266
2.00278071	3.66127487	100.6423363	4584.319418
1.99256682	3.66204465	98.30301091	4592.452256
1.98222667	3.66282182	95.99014993	4600.677807
1.97173907	3.66360727	93.69988762	4609.005963
1.96112001	3.6643996	91.43658762	4617.422342
1.95039754	3.66519657	89.20671357	4625.903513
1.93959166	3.66599657	87.01450621	4634.432595
1.92872564	3.66679779	84.86441855	4642.990446
1.91781152	3.66759927	82.7582922	4651.566884
1.90686255	3.66839997	80.69795886	4660.150795
1.89589369	3.66919874	78.6853154	4668.729799
1.88492282	3.66999426	76.7225131	4677.289593
1.87396279	3.67078558	74.81054007	4685.819766
1.86302077	3.6715722	72.94923972	4694.314692
