LogL_07M003M	LogT_07M003M	L(sun)_07M003M	T_07M003M
3.18140055	3.48004901	1518.450189	3020.29254
3.19333591	3.47830737	1560.759223	3008.204593
3.20497634	3.4766172	1603.15805	2996.520133
3.21638949	3.474973	1645.847113	2985.197024
3.22754458	3.47339197	1688.669191	2974.349303
3.23838081	3.4718971	1731.333809	2964.128997
3.24883732	3.47051308	1773.525021	2954.697876
3.25903631	3.46923369	1815.667459	2946.006427
3.26890082	3.46808698	1857.380236	2938.23806
3.27836387	3.4670937	1898.295726	2931.52566
3.28748156	3.46625511	1938.570323	2925.870566
3.29626838	3.46557891	1978.191721	2921.318507
3.30464602	3.46508308	2016.721926	2917.985168
3.31261677	3.46477066	2054.077238	2915.886801
3.32021852	3.46464315	2090.347647	2915.030814
3.32739578	3.46470719	2125.180293	2915.460689
3.33422473	3.46494943	2158.861244	2917.087324
3.34065941	3.46537727	2191.08593	2919.962473
3.34664761	3.46597939	2221.506611	2924.013612
3.35230317	3.46673416	2250.625162	2929.099738
3.35755226	3.46764804	2277.992343	2935.269893
3.36238203	3.4686948	2303.467187	2942.353171
3.36693799	3.46985626	2327.758869	2950.232616
3.371198	3.47113661	2350.704291	2958.943074
3.37513983	3.47251353	2372.137341	2968.339218
3.37882625	3.4739792	2392.358444	2978.37378
3.3823262	3.47552917	2411.716196	2989.022402
3.38559575	3.47716161	2429.941118	3000.278777
3.38863968	3.47886543	2447.032176	3012.072562
3.39150489	3.48063639	2463.229573	3024.380227
3.39424479	3.48247788	2478.81885	3037.231392
3.39681314	3.48438488	2493.521631	3050.597289
3.39922274	3.48635631	2507.394911	3064.476604
3.40151779	3.4883907	2520.680432	3078.865378
3.40372882	3.49048678	2533.546152	3093.761139
3.4058063	3.49263288	2545.694592	3109.087037
3.40775538	3.49482086	2557.145148	3124.790172
3.40960942	3.49705005	2568.085153	3140.870641
3.41138855	3.49932793	2578.627144	3157.387825
3.41303904	3.50165948	2588.445588	3174.384135
3.41456751	3.5040455	2597.571496	3191.872242
3.41600583	3.50648743	2606.188535	3209.869898
3.41736194	3.50899072	2614.339231	3228.425136
3.41859654	3.51155723	2621.781774	3247.560347
3.41970061	3.51418316	2628.455386	3267.255969
3.42069697	3.5168829	2634.492521	3287.629737
3.4216059	3.51968012	2640.011994	3308.873163
3.42236674	3.52259322	2644.641082	3331.142566
3.42295225	3.52562043	2648.208956	3354.443104
3.42317357	3.5270618	2649.558849	3365.594583
3.4233496	3.52857201	2650.632997	3377.31843
3.42345072	3.53015963	2651.250235	3389.687252
3.42347095	3.53098626	2651.373736	3396.145279
3.42344642	3.53183696	2651.223985	3402.804199
3.42341436	3.53227227	2651.028276	3406.21667
3.42336088	3.53271478	2650.701843	3409.68909
3.42332506	3.53293918	2650.483226	3411.451332
3.42327952	3.53316555	2650.205311	3413.229968
3.42321634	3.53339432	2649.819794	3415.028402
3.42312298	3.53362604	2649.250226	3416.850994
3.4230472	3.5337668	2648.787999	3417.958616
3.42294133	3.53390945	2648.14237	3419.081475
3.42287345	3.53398175	2647.728499	3419.650721
3.42278814	3.5340549	2647.208447	3420.226755
3.42273964	3.53409187	2646.912836	3420.51792
3.42268212	3.53412922	2646.562289	3420.812102
3.42261509	3.53416707	2646.153845	3421.110249
3.42253094	3.53420576	2645.641169	3421.415039
3.4224178	3.53424588	2644.952031	3421.731123
3.42231693	3.53427575	2644.337781	3421.966472
3.42218964	3.53430681	2643.562849	3422.211213
3.42203005	3.53433944	2642.591599	3422.468345
3.42181681	3.5343748	2641.294396	3422.747012
3.42166578	3.53439742	2640.376021	3422.925289
3.42146767	3.53442242	2639.171848	3423.122334
